what,kind,bundleId,bundleVersion,description,time
arch,sysinfo,,,"x86",1716913326076
ws,sysinfo,,,"win32",1716913326076
locale,sysinfo,,,"en_US",1716913326076
processors,sysinfo,,,"4",1716913326076
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1716913326076
java.runtime.version,sysinfo,,,"1.8.0_411-b09",1716913326076
java.specification.name,sysinfo,,,"Java Platform API Specification",1716913326076
java.specification.vendor,sysinfo,,,"Oracle Corporation",1716913326076
java.specification.version,sysinfo,,,"1.8",1716913326076
java.vendor,sysinfo,,,"Oracle Corporation",1716913326076
java.version,sysinfo,,,"1.8.0_411",1716913326076
java.vm.info,sysinfo,,,"mixed mode, sharing",1716913326076
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1716913326076
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1716913326076
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1716913326076
java.vm.specification.version,sysinfo,,,"1.8",1716913326076
java.vm.vendor,sysinfo,,,"Oracle Corporation",1716913326076
java.vm.version,sysinfo,,,"25.411-b09",1716913326076
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1716913356635
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1716913361626
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716913364164
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716913406323
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1716913406408
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1716913406507
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1716913411428
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1716913456139
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1716913458047
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1716913515323
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1716913515423
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1716913515454
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716913562821
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716913579669
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716913598445
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716913608608
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716913616856
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716913618746
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716913668403
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716913713852
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716913714678
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716913786121
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1716913799707
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716913820771
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716913822865
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716913829709
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716913836619
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716913840367
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716913887737
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1716913890113
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716913897730
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716913903866
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1716913903882
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1716913925238
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1716913930944
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1716913932213
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1716913934221
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1716913934290
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1716913936297
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1716913936297
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1716913937788
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716913940483
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716913942283
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1716913942283
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1716913948262
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716913967417
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716914050246
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1716914053374
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716914057125
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716914070756
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1716914070841
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1716914070910
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1716914083995
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1716914084011
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716914096024
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716914098016
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716914114464
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716914119902
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716914133995
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716914141256
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716914216552
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716914223477
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716914232820
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716914237969
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716914270681
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716914273726
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716914313871
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716914318134
